instance,algorithm,mean_GD,std_GD,mean_IGD,std_IGD,mean_runtime_s,std_runtime_s,mean_nd_size
sdmk01,EDA,112.08581941794796,30.339599661653132,150.29729594157254,4.564980243847856,0.3955322504043579,0.035852789878845215,2.0
sdmk01,EDA-TS,0.0,0.0,0.0,0.0,0.8030753135681152,0.05788755416870117,2.0
sdmk01,EDA-VNS,93.38317046700558,18.688235341969616,116.85626319384612,7.695861099969747,1.1161442995071411,0.02851879596710205,2.0
sdmk01,H-GA-TS,133.1840212687634,1.4200277045123073,93.33892739529998,10.707402988135499,1.4465938806533813,0.023892760276794434,2.0
sdmk01,NSGA-II,109.87986250074744,22.72735249673206,196.4959276249433,20.289546039816045,0.13089478015899658,0.021225571632385254,6.0
sdmk02,EDA,106.08857745496485,19.281319693876704,240.08397856902707,24.318553292573355,0.40174996852874756,0.00807797908782959,4.0
sdmk02,EDA-TS,0.0,0.0,0.0,0.0,1.1217454671859741,0.05665910243988037,3.5
sdmk02,EDA-VNS,101.73409921509675,45.85824475978565,176.9565321259248,36.40398866030338,1.48180091381073,0.031609416007995605,2.5
sdmk02,H-GA-TS,89.85556554870668,42.78115636494739,185.79329370106228,36.882536337604435,2.2028157711029053,0.08725738525390625,1.5
sdmk02,NSGA-II,192.43641362278504,87.36887581971285,237.84595699422152,10.562935793715823,0.11437273025512695,0.0026967525482177734,3.0
sdmk03,EDA,909.3958459586729,267.988755605319,1892.341834810539,90.61800253525303,1.111615777015686,0.023769736289978027,4.0
sdmk03,EDA-TS,0.0,0.0,0.0,0.0,2.1776362657546997,0.057529330253601074,8.5
sdmk03,EDA-VNS,773.5904625901233,188.49581212748234,1684.2376613989024,187.83199536182042,2.830131411552429,0.009894490242004395,2.0
sdmk03,H-GA-TS,804.0764941815426,93.39996790534695,1751.547411846208,61.91832510265556,3.902233839035034,0.018280506134033203,3.0
sdmk03,NSGA-II,1012.796811348409,143.01188822085794,2118.8135054390245,88.5682739179864,0.2527186870574951,0.00478816032409668,3.0
sdmk04,EDA,40.51503852302773,26.640601597516124,194.1759836460273,36.46505673872797,0.6700116395950317,0.04565846920013428,3.5
sdmk04,EDA-TS,0.0,0.0,0.0,0.0,1.527259111404419,0.10579729080200195,10.0
sdmk04,EDA-VNS,47.36812048246476,5.368120482464764,151.20955095939024,27.328366605135223,1.8937453031539917,0.023887991905212402,2.0
