instance,run,algorithm,seed,GD,IGD,runtime_s,nd_size,best_cost,best_makespan
sdmk01,1,EDA-TS,20270409,0.0,0.0,0.8609628677368164,2,947.0,47.0
sdmk01,1,EDA,20270409,81.74621975629482,145.7323156977247,0.3596794605255127,3,1118.0,50.0
sdmk01,1,NSGA-II,20270409,87.15251000401538,176.20638158512725,0.15212035179138184,5,1149.0,51.0
sdmk01,1,EDA-VNS,20270409,74.69493512503597,109.16040209387637,1.1446630954742432,3,1082.0,55.0
sdmk01,1,H-GA-TS,20270409,134.6040489732757,82.63152440716448,1.422701120376587,2,1054.0,55.0
sdmk01,2,EDA-TS,20270410,0.0,0.0,0.7451877593994141,2,947.0,46.0
sdmk01,2,EDA,20270410,142.42541907960108,154.8622761854204,0.4313850402832031,1,1114.0,57.0
sdmk01,2,NSGA-II,20270410,132.6072149974795,216.78547366475934,0.10966920852661133,7,1175.0,56.0
sdmk01,2,EDA-VNS,20270410,112.0714058089752,124.55212429381587,1.087625503540039,1,1084.0,50.0
sdmk01,2,H-GA-TS,20270410,131.76399356425108,104.04633038343547,1.4704866409301758,2,1063.0,52.0
sdmk02,1,EDA-TS,20280409,0.0,0.0,1.1784045696258545,3,856.0,31.0
sdmk02,1,EDA,20280409,125.36989714884156,264.40253186160044,0.40982794761657715,6,1170.0,46.0
sdmk02,1,NSGA-II,20280409,279.8052894424979,248.40889278793733,0.11167597770690918,2,1155.0,46.0
sdmk02,1,EDA-VNS,20280409,147.5923439748824,213.3605207862282,1.5134103298187256,2,1120.0,42.0
sdmk02,1,H-GA-TS,20280409,132.63672191365407,222.6758300386667,2.2900731563568115,2,1129.0,46.0
sdmk02,2,EDA-TS,20280410,0.0,0.0,1.0650863647460938,4,881.0,34.0
sdmk02,2,EDA,20280410,86.80725776108815,215.76542527645373,0.39367198944091797,2,1179.0,47.0
sdmk02,2,NSGA-II,20280410,105.06753780307217,227.2830212005057,0.11706948280334473,4,1190.0,46.0
sdmk02,2,EDA-VNS,20280410,55.87585445531111,140.55254346562143,1.4501914978027344,3,1103.0,41.0
sdmk02,2,H-GA-TS,20280410,47.07440918375928,148.91075736345783,2.115558385848999,1,1113.0,44.0
sdmk03,1,EDA-TS,20290409,0.0,0.0,2.235165596008301,5,3837.0,142.0
sdmk03,1,EDA,20290409,641.407090353354,1801.723832275286,1.135385513305664,6,6045.0,243.0
sdmk03,1,NSGA-II,20290409,1155.808699569267,2207.381779357011,0.24793052673339844,2,6455.0,227.0
sdmk03,1,EDA-VNS,20290409,585.094650462641,1496.405666037082,2.8400259017944336,2,5742.0,229.0
sdmk03,1,H-GA-TS,20290409,897.4764620868895,1689.6290867435523,3.9205143451690674,2,5937.0,210.0
sdmk03,2,EDA-TS,20290410,0.0,0.0,2.1201069355010986,12,3793.0,145.0
sdmk03,2,EDA,20290410,1177.384601563992,1982.959837345792,1.087846040725708,2,6191.0,232.0
sdmk03,2,NSGA-II,20290410,869.7849231275511,2030.2452315210382,0.2575068473815918,4,6239.0,225.0
sdmk03,2,EDA-VNS,20290410,962.0862747176056,1872.0696567607229,2.820236921310425,2,6081.0,229.0
sdmk03,2,H-GA-TS,20290410,710.6765262761955,1813.4657369488634,3.883953332901001,4,6022.0,218.0
sdmk04,1,EDA-TS,20300409,0.0,0.0,1.421461820602417,15,2058.0,60.0
sdmk04,1,EDA,20300409,13.874436925511606,157.71092690729932,0.6243531703948975,2,2372.0,72.0
