instance,competitor,metric,Wm,p_value,win,n_runs
sdmk11,NSGA-II,IGD,0.0,0.3710933695226979,=,2
sdmk11,EDA-VNS,GD,0.0,0.3710933695226979,=,2
sdmk11,EDA-VNS,IGD,0.0,0.3710933695226979,=,2
sdmk11,H-GA-TS,GD,0.0,0.3710933695226979,=,2
sdmk11,H-GA-TS,IGD,0.0,0.3710933695226979,=,2
sdmk12,EDA,GD,0.0,0.3710933695226979,=,2
sdmk12,EDA,IGD,0.0,0.3710933695226979,=,2
sdmk12,NSGA-II,GD,0.0,0.3710933695226979,=,2
sdmk12,NSGA-II,IGD,0.0,0.3710933695226979,=,2
sdmk12,EDA-VNS,GD,0.0,0.3710933695226979,=,2
sdmk12,EDA-VNS,IGD,0.0,0.3710933695226979,=,2
sdmk12,H-GA-TS,GD,0.0,0.3710933695226979,=,2
sdmk12,H-GA-TS,IGD,0.0,0.3710933695226979,=,2
sdmk13,EDA,GD,0.0,0.3710933695226979,=,2
sdmk13,EDA,IGD,0.0,0.3710933695226979,=,2
sdmk13,NSGA-II,GD,0.0,0.3710933695226979,=,2
sdmk13,NSGA-II,IGD,0.0,0.3710933695226979,=,2
sdmk13,EDA-VNS,GD,0.0,0.3710933695226979,=,2
sdmk13,EDA-VNS,IGD,0.0,0.3710933695226979,=,2
sdmk13,H-GA-TS,GD,0.0,0.3710933695226979,=,2
sdmk13,H-GA-TS,IGD,0.0,0.3710933695226979,=,2
sdmk14,EDA,GD,0.0,0.3710933695226979,=,2
sdmk14,EDA,IGD,0.0,0.3710933695226979,=,2
sdmk14,NSGA-II,GD,0.0,0.3710933695226979,=,2
sdmk14,NSGA-II,IGD,0.0,0.3710933695226979,=,2
sdmk14,EDA-VNS,GD,0.0,0.3710933695226979,=,2
sdmk14,EDA-VNS,IGD,0.0,0.3710933695226979,=,2
sdmk14,H-GA-TS,GD,0.0,0.3710933695226979,=,2
sdmk14,H-GA-TS,IGD,0.0,0.3710933695226979,=,2
sdmk15,EDA,GD,0.0,0.3710933695226979,=,2
sdmk15,EDA,IGD,0.0,0.3710933695226979,=,2
sdmk15,NSGA-II,GD,0.0,0.3710933695226979,=,2
sdmk15,NSGA-II,IGD,0.0,0.3710933695226979,=,2
sdmk15,EDA-VNS,GD,0.0,0.3710933695226979,=,2
sdmk15,EDA-VNS,IGD,0.0,0.3710933695226979,=,2
sdmk15,H-GA-TS,GD,0.0,0.3710933695226979,=,2
sdmk15,H-GA-TS,IGD,0.0,0.3710933695226979,=,2
